Threshold,Features,Linear_recall_score,Linear_f1_score,Knn_recall_score,Knn_f1_score,Logistic_recall_score,Logistic_f1_score
0.11,10,0.9935218027329348,0.7081291823088062,0.9579344677344137,0.7371857801184022,0.9917670123286081,0.7116140518670937
0.11,11,0.9935783448576953,0.708219535328034,0.9590101413314825,0.7367291521275154,0.9918234577797641,0.711705038584646
0.11,12,0.99355000982426,0.7081636063596712,0.9592639368802236,0.7373169456934684,0.9917667877128936,0.7115849783027256
0.11,13,0.9938328171216667,0.708879697832328,0.9594053248946741,0.7393474039437549,0.9918799032309206,0.7137746139972293
0.11,14,0.9938604783079587,0.7092364283569749,0.9594602947094328,0.739923672761492,0.9920503001259497,0.7146903305072714
0.11,15,0.9939170204327189,0.709240722458452,0.9605619008402625,0.7391115744695584,0.9921075815029526,0.7146729528232368
0.11,16,0.9938884607835692,0.7091846692341196,0.9614708425350065,0.7386296120583736,0.9922207936945838,0.7147618167095452
0.11,17,0.9938322399481275,0.7092804951326164,0.9620012072058118,0.7377629226060344,0.9922203444631545,0.7150092913133586
0.11,18,0.993860992944486,0.7093220638714944,0.9627366102536099,0.7361475923541455,0.9922769832615194,0.7151083798353088
0.11,19,0.9941434448159813,0.7102486223605329,0.9645729143165881,0.73604043586883,0.9919652950256438,0.7162058263650143
0.11,20,0.9941434448159813,0.7102271137515909,0.963981509470558,0.7350485562292476,0.9919650704099293,0.7161765227700886
0.11,21,0.9941434448159813,0.7102128060336984,0.9644905790725243,0.7350956194715649,0.991936414087175,0.7161996521473126
0.11,22,0.9941434448159813,0.7102128060336984,0.9644905790725243,0.7350956194715649,0.991936414087175,0.7161996521473126
0.12,1,1.0,0.6666633022934375,0.0,0.0,1.0,0.6666633022934375
0.12,2,0.988427308042283,0.6997080997985229,0.0,0.0,0.988427308042283,0.6997080997985229
0.12,3,0.9917960524776929,0.696415582043389,0.07770117358042726,0.1408673549527649,0.9932097932077403,0.6942647577785183
0.12,4,0.9922749872524207,0.6981046958612535,0.14705409420744517,0.24532878904005972,0.9919063759335409,0.6985382844893463
0.12,5,0.9923902579901621,0.7107480652529584,0.6594041849685777,0.6563991550938236,0.9895606554469455,0.7159384393284207
0.12,6,0.9925033422396833,0.7106489148625398,0.7659536993958019,0.7061494953435842,0.9896169729559915,0.7156058070097059
0.12,7,0.9924179817134656,0.7109263686773765,0.9388014535938529,0.7421776765928323,0.9899575108618298,0.7163062044190425
0.12,8,0.9923334258445887,0.7111900084759822,0.9521918014572567,0.7409705825154016,0.9894482479126548,0.7166347891401988
0.12,9,0.9925032768345847,0.7110307225716858,0.9528108674895787,0.741323006399104,0.9897308931313589,0.7161938111561618
0.12,10,0.9925585338020696,0.7110420641561935,0.9579344677344137,0.7371857801184022,0.989503922843063,0.716183389794034
0.12,11,0.9925300054214256,0.711072118037345,0.9590101413314825,0.7367291521275154,0.9895326758394217,0.7162995050453703
0.12,12,0.9925017670615947,0.7110374291591169,0.9592639368802236,0.7373169456934684,0.9895897638692156,0.7162598621238657
0.12,13,0.9928137765867892,0.7116426075457838,0.9594053248946741,0.7393474039437549,0.9893921550193235,0.7181608001109859
0.12,14,0.9930404909908646,0.7120144774770161,0.9594602947094328,0.739923672761492,0.9895893771747981,0.7191091400409816
0.12,15,0.9929269262414087,0.7121575046076924,0.9605619008402625,0.7391115744695584,0.989928211960438,0.7192302690881703
0.12,16,0.9930121559574293,0.7122400528988351,0.9614708425350065,0.7386296120583736,0.9900702084169334,0.7193998461517985
0.12,17,0.9930682488507606,0.7122300243717911,0.9620012072058118,0.7377629226060344,0.99009822216105,0.7194942259716332
0.12,18,0.9930404597223587,0.7121954836321911,0.9627366102536099,0.7361475923541455,0.9898723749513268,0.7195889778847748
0.12,19,0.9932088009393647,0.7129034669648265,0.9645729143165881,0.73604043586883,0.9898703534098962,0.72111631032136
0.12,20,0.993180369232325,0.7128830020108796,0.963981509470558,0.7350485562292476,0.9898703534098962,0.7211163321417152
0.12,21,0.9932087042657604,0.7129032010907078,0.9644905790725243,0.7350956194715649,0.9898136833430254,0.7210677137945036
0.12,22,0.9932087042657604,0.7129032010907078,0.9644905790725243,0.7350956194715649,0.9898136833430254,0.7210677137945036
0.13,1,1.0,0.6666633022934375,0.0,0.0,1.0,0.6666633022934375
